Order,Num Instances,Num Splits,Training Time (Total),Training Time (Avg),Validation Time (Total),Validation Time (Avg),TP (Total),TP (Avg),FP (Total),FP (Avg),TN (Total),TN (Avg),FN (Total), FN (Avg),Precision,Recall,F1
0,7613,5,2.3509960174560547,0.4701992034912109,2.120755910873413,0.4241511821746826,2132,426.4,1459,291.8,2883,576.6,1139,227.8,0.5937064884433305,0.6517884439009477,0.6213931798309531
1,7613,5,4.81418251991272,0.962836503982544,3.199216842651367,0.6398433685302735,2245,449.0,1203,240.6,3139,627.8,1026,205.2,0.6511020881670534,0.6863344542953226,0.6682542044947165
2,7613,5,7.8724045753479,1.57448091506958,3.623258590698242,0.7246517181396485,1794,358.8,318,63.6,4024,804.8,1477,295.4,0.8494318181818182,0.5484561296239682,0.6665428199888538
3,7613,5,11.302451848983765,2.260490369796753,4.075791358947754,0.8151582717895508,1863,372.6,231,46.2,4111,822.2,1408,281.6,0.8896848137535817,0.569550596147967,0.6945013979496738
4,7613,5,15.09119701385498,3.018239402770996,4.479391098022461,0.8958782196044922,2011,402.2,322,64.4,4020,804.0,1260,252.0,0.8619802828975568,0.6147966982574137,0.7177016416845111
5,7613,5,19.166038274765015,3.8332076549530028,5.110098361968994,1.0220196723937989,2086,417.2,404,80.8,3938,787.6,1185,237.0,0.8377510040160643,0.6377254662182819,0.724179829890644
6,7613,5,24.4509859085083,4.8901971817016605,5.378701448440552,1.0757402896881103,2153,430.6,486,97.2,3856,771.2,1118,223.6,0.8158393330807124,0.6582084989299908,0.728595600676819
7,7613,5,28.810081005096436,5.7620162010192875,6.017667770385742,1.2035335540771483,2224,444.8,581,116.2,3761,752.2,1047,209.4,0.7928698752228164,0.6799143992662794,0.7320605661619486
8,7613,5,34.3506224155426,6.870124483108521,6.151066064834595,1.230213212966919,2274,454.8,678,135.6,3664,732.8,997,199.4,0.7703252032520326,0.6952002445735249,0.7308372167764744
9,7613,5,40.83016777038574,8.16603355407715,6.738901615142822,1.3477803230285645,2290,458.0,787,157.4,3555,711.0,981,196.2,0.7442313942151446,0.7000917150718434,0.7214870825456837
10,7613,5,46.324564933776855,9.264912986755371,6.902374505996704,1.380474901199341,2289,457.8,847,169.4,3495,699.0,982,196.4,0.7299107142857143,0.6997859981656985,0.7145309817387232
11,7613,5,53.033658027648926,10.606731605529784,7.887264728546143,1.5774529457092286,2267,453.4,901,180.2,3441,688.2,1004,200.8,0.7155934343434344,0.6930602262305106,0.7041466066159341
12,7613,5,59.02050995826721,11.804101991653443,7.557321071624756,1.5114642143249513,2238,447.6,937,187.4,3405,681.0,1033,206.6,0.7048818897637795,0.6841944359523081,0.694384114179336
13,7613,5,66.55573511123657,13.311147022247315,8.01748275756836,1.6034965515136719,2200,440.0,962,192.4,3380,676.0,1071,214.2,0.6957621758380772,0.6725771935188016,0.6839732628633608
