Order,Num Instances,Num Splits,Training Time (Total),Training Time (Avg),Validation Time (Total),Validation Time (Avg),TP (Total),TP (Avg),FP (Total),FP (Avg),TN (Total),TN (Avg),FN (Total), FN (Avg),Precision,Recall,F1
0,7613,5,2.4318509101867676,0.4863701820373535,2.33198618888855,0.46639723777770997,2214,442.8,1609,321.8,2733,546.6,1057,211.4,0.5791263405702328,0.6768572302048304,0.624189455878207
1,7613,5,5.015413045883179,1.0030826091766358,3.3383102416992188,0.6676620483398438,2232,446.4,1199,239.8,3143,628.6,1039,207.8,0.650539201399009,0.6823601345154388,0.666069829901522
2,7613,5,8.262086868286133,1.6524173736572265,3.7957918643951416,0.7591583728790283,1848,369.6,309,61.8,4033,806.6,1423,284.6,0.8567454798331016,0.5649648425557934,0.6809137803979367
3,7613,5,12.039045810699463,2.4078091621398925,4.35585618019104,0.871171236038208,1923,384.6,285,57.0,4057,811.4,1348,269.6,0.8709239130434783,0.5878936105166616,0.7019529111151669
4,7613,5,16.581021070480347,3.3162042140960692,4.642603158950806,0.9285206317901611,2047,409.4,367,73.4,3975,795.0,1224,244.8,0.847970173985087,0.6258025068786304,0.7201407211961302
5,7613,5,20.554469108581543,4.110893821716308,5.588001489639282,1.1176002979278565,2131,426.2,463,92.6,3879,775.8,1140,228.0,0.8215111796453354,0.6514827269948028,0.7266837169650469
6,7613,5,25.45064902305603,5.090129804611206,5.822984457015991,1.1645968914031983,2198,439.6,548,109.6,3794,758.8,1073,214.6,0.8004369992716679,0.6719657597065117,0.7305966428452718
7,7613,5,31.67136240005493,6.334272480010986,6.318499803543091,1.2636999607086181,2228,445.6,650,130.0,3692,738.4,1043,208.6,0.7741487143849896,0.6811372668908591,0.7246706781590503
8,7613,5,35.47255277633667,7.094510555267334,6.298137187957764,1.2596274375915528,2281,456.2,767,153.4,3575,715.0,990,198.0,0.7483595800524935,0.6973402629165393,0.7219496755815794
9,7613,5,41.20751905441284,8.241503810882568,7.06346321105957,1.4126926422119142,2310,462.0,893,178.6,3449,689.8,961,192.2,0.7211988760536997,0.7062060531947417,0.7136237256719185
10,7613,5,48.71024489402771,9.742048978805542,7.039655685424805,1.407931137084961,2299,459.8,976,195.2,3366,673.2,972,194.4,0.7019847328244275,0.7028431672271477,0.7024136877482433
11,7613,5,53.79387950897217,10.758775901794433,7.951955795288086,1.5903911590576172,2275,455.0,1031,206.2,3311,662.2,996,199.2,0.6881427707199032,0.6955059614796698,0.6918047742131671
12,7613,5,62.096596479415894,12.419319295883179,7.976580619812012,1.5953161239624023,2242,448.4,1082,216.4,3260,652.0,1029,205.8,0.674488567990373,0.6854173035768878,0.6799090219863533
13,7613,5,69.16562604904175,13.83312520980835,8.144870519638062,1.6289741039276122,2222,444.4,1087,217.4,3255,651.0,1049,209.8,0.6715019643396797,0.6793029654539896,0.6753799392097264
14,7613,5,77.50059771537781,15.500119543075561,9.316538095474243,1.8633076190948485,2192,438.4,1118,223.6,3224,644.8,1079,215.8,0.6622356495468278,0.6701314582696423,0.6661601580306944
15,7613,5,84.1323471069336,16.82646942138672,9.133475542068481,1.8266951084136962,2156,431.2,1084,216.8,3258,651.6,1115,223.0,0.6654320987654321,0.6591256496484256,0.6622638611580403
