Order,Num Instances,Num Splits,Training Time (Total),Training Time (Avg),Validation Time (Total),Validation Time (Avg),TP (Total),TP (Avg),FP (Total),FP (Avg),TN (Total),TN (Avg),FN (Total), FN (Avg),Precision,Recall,F1
0,7613,5,0.5925657749176025,0.11851315498352051,0.39717602729797363,0.07943520545959473,2349,469.8,682,136.4,3660,732.0,922,184.4,0.7749917518970637,0.7181290125343932,0.7454776261504285
1,7613,5,0.9374849796295166,0.18749699592590333,0.5468075275421143,0.10936150550842286,2064,412.8,633,126.6,3709,741.8,1207,241.4,0.7652947719688543,0.6309996942830939,0.6916890080428953
2,7613,5,1.3445067405700684,0.26890134811401367,0.7150731086730957,0.14301462173461915,1890,378.0,620,124.0,3722,744.4,1381,276.2,0.7529880478087649,0.5778049526138795,0.6538661131292164
3,7613,5,1.8348047733306885,0.3669609546661377,0.6748569011688232,0.13497138023376465,1726,345.2,531,106.2,3811,762.2,1545,309.0,0.7647319450598139,0.5276673800061144,0.6244573082489147
4,7613,5,2.4852283000946045,0.4970456600189209,0.8099064826965332,0.16198129653930665,1696,339.2,502,100.4,3840,768.0,1575,315.0,0.7716105550500455,0.518495872821767,0.6202230755165479
5,7613,5,2.871135950088501,0.5742271900177002,0.769883394241333,0.1539766788482666,1679,335.8,498,99.6,3844,768.8,1592,318.4,0.7712448323380799,0.5132986854173036,0.6163729809104258
6,7613,5,3.30389142036438,0.660778284072876,0.7901611328125,0.1580322265625,1670,334.0,497,99.4,3845,769.0,1601,320.2,0.7706506691278265,0.5105472332619994,0.6141963957337256
7,7613,5,3.847102642059326,0.7694205284118653,0.8436801433563232,0.16873602867126464,1664,332.8,495,99.0,3847,769.4,1607,321.4,0.7707271885132005,0.5087129318251299,0.612891344383057
8,7613,5,4.40296483039856,0.8805929660797119,0.9106504917144775,0.1821300983428955,1659,331.8,495,99.0,3847,769.4,1612,322.4,0.7701949860724234,0.5071843472944054,0.6116129032258065
9,7613,5,4.535647869110107,0.9071295738220215,0.8636939525604248,0.17273879051208496,1645,329.0,495,99.0,3847,769.4,1626,325.2,0.7686915887850467,0.5029043106083766,0.6080206985769727
10,7613,5,4.9976255893707275,0.9995251178741456,0.8836731910705566,0.17673463821411134,1631,326.2,496,99.2,3846,769.2,1640,328.0,0.766807710390221,0.4986242739223479,0.6042978881067063
11,7613,5,5.3412392139434814,1.0682478427886963,1.053525686264038,0.21070513725280762,1627,325.4,494,98.8,3848,769.6,1644,328.8,0.7670909948137671,0.49740140629776824,0.603486646884273
12,7613,5,5.591489315032959,1.1182978630065918,0.9207088947296143,0.18414177894592285,1622,324.4,495,99.0,3847,769.4,1649,329.8,0.7661785545583373,0.4958728217670437,0.6020786933927245
13,7613,5,5.838577747344971,1.1677155494689941,0.9333405494689941,0.18666810989379884,1609,321.8,495,99.0,3847,769.4,1662,332.4,0.7647338403041825,0.4918985019871599,0.5986976744186046
14,7613,5,6.083237171173096,1.2166474342346192,0.9945945739746094,0.19891891479492188,1600,320.0,495,99.0,3847,769.4,1671,334.2,0.7637231503579952,0.4891470498318557,0.5963473723443906
15,7613,5,6.2727274894714355,1.2545454978942872,1.0011770725250244,0.20023541450500487,1594,318.8,494,98.8,3848,769.6,1677,335.4,0.7634099616858238,0.48731274839498623,0.5948871058033215
